
在位置 5628 发现不同:  文件1: 544.138 文件2: 536.913
在位置 5629 发现不同:  文件1: 0.266663 文件2: 4.78453
在位置 5630 发现不同:  文件1: 165.598 文件2: 21.4869
在位置 5631 发现不同:  文件1: 144.495 文件2: 9.54016
在位置 5713 发现不同:  文件1: -2.13143 文件2: 19.8743
在位置 5714 发现不同:  文件1: 12.8089 文件2: 24.3726
在位置 5715 发现不同:  文件1: 20.2164 文件2: 40.2673
在位置 5796 发现不同:  文件1: 553.601 文件2: 555.173
在位置 5797 发现不同:  文件1: 3.67098 文件2: 19.5232
在位置 5798 发现不同:  文件1: 140.856 文件2: 23.2463
在位置 5799 发现不同:  文件1: 148.921 文件2: 38.8058
在位置 5880 发现不同:  文件1: 557.422 文件2: 558.464
在位置 5881 发现不同:  文件1: -0.0987988 文件2: 19.7402
在位置 5882 发现不同:  文件1: 21.1351 文件2: 27.8888
在位置 5883 发现不同:  文件1: 17.0081 文件2: 38.9566
在位置 5964 发现不同:  文件1: 571.781 文件2: 570.72
在位置 5965 发现不同:  文件1: 8.50857 文件2: 16.1452
在位置 5966 发现不同:  文件1: 137.125 文件2: 23.2323
在位置 5967 发现不同:  文件1: 159.457 文件2: 31.3276
在位置 6048 发现不同:  文件1: 580.066 文件2: 576.635
在位置 6049 发现不同:  文件1: 7.9183 文件2: 10.0926
在位置 6050 发现不同:  文件1: 23.4919 文件2: 18.0976
在位置 6051 发现不同:  文件1: 31.5846 文件2: 18.9837
在位置 6132 发现不同:  文件1: 590.643 文件2: 584.738
在位置 6133 发现不同:  文件1: 5.15722 文件2: 15.9502
在位置 6134 发现不同:  文件1: 156.871 文件2: 39.4243
在位置 6135 发现不同:  文件1: 176.514 文件2: 30.8255
在位置 6216 发现不同:  文件1: 599.319 文件2: 596.882
在位置 6217 发现不同:  文件1: 6.43797 文件2: 16.1564
在位置 6218 发现不同:  文件1: 30.3409 文件2: 47.1404
在位置 6219 发现不同:  文件1: 61.0367 文件2: 32.6722
在位置 6300 发现不同:  文件1: 607.557 文件2: 599.069
在位置 6301 发现不同:  文件1: 1.64126 文件2: 16.074
在位置 6302 发现不同:  文件1: 180.064 文件2: 42.8248
在位置 6303 发现不同:  文件1: 157.234 文件2: 32.8663
在位置 6384 发现不同:  文件1: 616.495 文件2: 604.601
在位置 6385 发现不同:  文件1: 0.674042 文件2: 9.91035
在位置 6386 发现不同:  文件1: 67.0598 文件2: 34.3732
在位置 6387 发现不同:  文件1: 30.075 文件2: 20.6585
在位置 6468 发现不同:  文件1: 617.88 文件2: 620.807
在位置 6469 发现不同:  文件1: 1.32796 文件2: 6.60534
在位置 6470 发现不同:  文件1: 156.637 文件2: 7.65491
在位置 6471 发现不同:  文件1: 177.436 文件2: 13.1642
在位置 6552 发现不同:  文件1: 625.602 文件2: 627.805
在位置 6553 发现不同:  文件1: -2.66466 文件2: 10.508
在位置 6554 发现不同:  文件1: 28.7153 文件2: 22.158
在位置 6555 发现不同:  文件1: 73.817 文件2: 21.2747
在位置 6636 发现不同:  文件1: 638.123 文件2: 631.901
在位置 6637 发现不同:  文件1: 5.38064 文件2: 9.322
在位置 6638 发现不同:  文件1: 161.283 文件2: 17.0081
在位置 6639 发现不同:  文件1: 155.889 文件2: 18.6237
在位置 6720 发现不同:  文件1: 1.95621 文件2: 4.12378
在位置 6721 发现不同:  文件1: 15.2729 文件2: 17.7324
在位置 6722 发现不同:  文件1: 47.6835 文件2: 8.4054
在位置 6723 发现不同:  文件1: 30.3452 文件2: 35.0653
在位置 6804 发现不同:  文件1: 13.1567 文件2: 12.0655
在位置 6805 发现不同:  文件1: 7.54967 文件2: 15.9183
在位置 6806 发现不同:  文件1: 154.256 文件2: 23.4916
在位置 6807 发现不同:  文件1: 148.603 文件2: 31.5846
在位置 6888 发现不同:  文件1: 19.0082 文件2: 24.4785
在位置 6889 发现不同:  文件1: 11.7937 文件2: 14.9741
在位置 6890 发现不同:  文件1: 21.5382 文件2: 48.5705
在位置 6891 发现不同:  文件1: 23.0645 文件2: 29.6028
在位置 6972 发现不同:  文件1: 25.4671 文件2: 28.2892
在位置 6973 发现不同:  文件1: 13.5255 文件2: 15.3194
在位置 6974 发现不同:  文件1: 148.579 文件2: 55.5821
在位置 6975 发现不同:  文件1: 144.571 文件2: 30.3409
在位置 7056 发现不同:  文件1: 36.3671 文件2: 34.5529
在位置 7057 发现不同:  文件1: 14.3769 文件2: 15.2181
在位置 7058 发现不同:  文件1: 25.6934 文件2: 63.0185
在位置 7059 发现不同:  文件1: 16.4364 文件2: 30.2367
在位置 7140 发现不同:  文件1: 44.6488 文件2: 39.6001
在位置 7141 发现不同:  文件1: 14.9735 文件2: 15.2234
在位置 7142 发现不同:  文件1: 144.857 文件2: 66.8689
在位置 7143 发现不同:  文件1: 174.39 文件2: 30.2801
在位置 7224 发现不同:  文件1: 50.6754 文件2: 45.9812
在位置 7225 发现不同:  文件1: 7.92859 文件2: 15.1227
在位置 7226 发现不同:  文件1: 18.8982 文件2: 64.0128
在位置 7227 发现不同:  文件1: 58.0352 文件2: 29.6684
在位置 7308 发现不同:  文件1: 55.4308 文件2: 53.9346
在位置 7309 发现不同:  文件1: 15.0265 文件2: 14.5875
在位置 7310 发现不同:  文件1: 178.333 文件2: 70.9699
在位置 7311 发现不同:  文件1: 156.172 文件2: 28.3356
